,LST,GNDBI,GNDVI,LNDVI,X,Y,Year
179,48.55001831,-12.3836,4.7921,0.238208919,403170,3709860,1995
180,52.65002441,-4.991,-4.7363,0.466155202,396330,3709830,1995
181,53.05001831,-5.3333,-4.4711,0.425635657,396450,3709830,1995
182,50.45001221,-5.9274,-3.8972,0.317740907,396720,3709830,1995
183,45.8500061,-16.3745,13.3314,1.139521038,399810,3709830,1995
184,53.25,-14.0742,4.5231,-0.133655316,400590,3709830,1995
185,52.05001831,-7.7265,-5.0453,0.167898684,401250,3709830,1995
186,46.95001221,-12.1866,6.3872,0.765928392,403710,3709830,1995
187,49.45001221,-7.1082,3.9321,0.014712049,404070,3709830,1995
188,48.75,-8.8522,2.1274,0.12730908,404310,3709830,1995
189,48.65002441,-10.1448,0.9927,-0.012876469,404400,3709830,1995
190,46.8500061,-10.8748,-0.8483,-0.076953737,404790,3709830,1995
191,48.55001831,-15.1184,2.7984,0.118280239,405000,3709830,1995
192,43.05001831,-17.1869,16.7305,5.489150353,405420,3709830,1995
193,47.65002441,-10.1454,3.3155,0.265068132,396930,3709800,1995
194,45.95001221,-19.3117,13.8343,1.790525853,399120,3709800,1995
195,49.65002441,-10.7241,0.405,-0.000890282,402540,3709800,1995
196,48.65002441,-11.5446,1.8433,0.09008829,402990,3709800,1995
197,49.25,-15.2321,8.9298,-0.148519354,403590,3709800,1995
198,51.15002441,-9.6901,1.756,0.012460514,395220,3709770,1995
199,47.75,-11.6791,5.3025,0.310417301,396930,3709770,1995
200,47.75,-11.6048,5.3556,0.228762226,396960,3709770,1995
201,51.65002441,-14.6038,5.6031,-0.643129771,400380,3709770,1995
202,53.3500061,-5.1209,-7.7668,0.629574377,401070,3709770,1995
203,46.65002441,-14.5654,6.78,0.887308408,402480,3709770,1995
204,53.25,-9.9447,-3.7005,0.390205026,402660,3709770,1995
205,49.05001831,-13.931,7.1409,0.172925884,403680,3709770,1995
206,46.95001221,-11.6219,4.9887,0.276375006,403770,3709770,1995
207,50.65002441,-16.1839,4.3801,-0.35480897,405000,3709770,1995
208,51.05001831,-7.8292,0.3151,0.006024541,396090,3709740,1995
209,51.95001221,-5.892,-1.8556,-0.014432074,396180,3709740,1995
210,51.05001831,-8.8141,0.6472,-0.004360796,397260,3709740,1995
211,50.65002441,-9.1223,-0.2544,-0.007354327,397590,3709740,1995
212,55.65002441,-3.6866,-8.9658,0.869605596,398520,3709740,1995
213,51.15002441,-13.6751,2.2024,-0.069420002,400740,3709740,1995
214,49.45001221,-12.3633,0.8515,-0.007636902,401430,3709740,1995
215,46.95001221,-11.6934,5.1187,0.344299657,403770,3709740,1995
216,43.05001831,-14.1494,14.314,4.623766648,405480,3709740,1995
217,51.95001221,-10.9498,3.3458,0.071834168,395700,3709710,1995
218,51.95001221,-11.0932,3.1517,0.019590477,395850,3709710,1995
219,48.45001221,-11.8159,4.7099,0.746500283,396810,3709710,1995
220,51.65002441,-7.7084,-4.455,-0.006546513,397800,3709710,1995
221,48.65002441,-11.2832,1.8787,0.344070466,400860,3709710,1995
222,48.05001831,-12.7892,3.8628,0.105365327,403020,3709710,1995
223,48.3500061,-16.0132,8.6132,0.971568879,403500,3709710,1995
224,49.05001831,-15.3329,8.3328,0.60067985,403530,3709710,1995
225,47.45001221,-12.449,11.7365,0.505118875,405570,3709710,1995
226,50.45001221,-9.5086,1.0467,-0.023862526,397410,3709680,1995
227,50.65002441,-10.7267,0.8992,0.015526008,397620,3709680,1995
228,52.05001831,-7.5939,-4.7776,0.27433185,397830,3709680,1995
229,52.8500061,-6.8103,-5.6211,0.465845079,397860,3709680,1995
230,54.55001831,-5.7383,-6.0889,0.573689671,398580,3709680,1995
231,43.75,-20.7769,22.0614,4.191008357,400080,3709680,1995
232,47.3500061,-11.4357,2.4372,0.333279284,400830,3709680,1995
233,50.8500061,-10.9445,-1.4187,0.034774644,401370,3709680,1995
234,45.25,-16.3821,10.3884,1.549483803,402480,3709680,1995
235,47.25,-18.0287,10.7089,0.848456664,403320,3709680,1995
236,47.55001831,-16.5253,7.7409,0.385275492,405030,3709680,1995
237,48.3500061,-13.3652,11.0148,-0.597505775,405300,3709680,1995
238,43.8500061,-12.7989,12.4209,3.850874222,405480,3709680,1995
239,51.95001221,-11.2363,3.2634,0.012207778,395880,3709650,1995
240,45.75,-14.2031,9.7604,0.518413981,396960,3709650,1995
241,51.15002441,-9.8255,1.1357,-0.009046407,397440,3709650,1995
242,44.55001831,-22.0245,17.1271,1.782636053,399270,3709650,1995
243,47.3500061,-10.6666,1.6424,0.292709574,400890,3709650,1995
244,51.95001221,-9.2634,-4.6369,0.103028512,401280,3709650,1995
245,48.45001221,-15.5947,6.7416,0.424828327,402840,3709650,1995
246,48.3500061,-14.193,7.4951,0.550410017,403620,3709650,1995
247,51.95001221,-9.2742,2.0542,0.089598369,395190,3709620,1995
248,51.45001221,-10.7445,3.055,0.047023874,395730,3709620,1995
249,50.05001831,-8.331,2.8207,0.056653601,396450,3709620,1995
250,48.65002441,-15.1896,8.6972,0.633663818,398760,3709620,1995
251,51.95001221,-11.081,-0.946,0.02130891,400560,3709620,1995
252,48.65002441,-15.7577,4.4633,0.3887519,401520,3709620,1995
253,43.75,-17.0721,11.3384,3.195531787,402480,3709620,1995
254,45.3500061,-16.6376,11.8001,1.432368783,404910,3709620,1995
255,51.15002441,-8.0346,1.0264,-0.009549593,396570,3709590,1995
256,47.75,-15.9516,7.1735,0.644521539,402810,3709590,1995
257,47.95001221,-13.6582,5.7794,0.65377865,402960,3709590,1995
258,46.8500061,-17.8755,10.8139,1.286608142,403410,3709590,1995
259,47.65002441,-13.5872,8.192,0.506517726,403710,3709590,1995
260,44.45001221,-14.8536,11.446,3.338998008,404820,3709590,1995
261,50.3500061,-9.2066,3.0742,-0.088523286,397170,3709560,1995
262,47.65002441,-16.8247,10.6883,1.329126796,398820,3709560,1995
263,45.95001221,-19.5184,16.4161,2.116705845,399660,3709560,1995
264,45.25,-19.0541,19.0649,2.258466846,399900,3709560,1995
265,43.55001831,-18.095,18.7496,4.371610293,400140,3709560,1995
266,49.3500061,-14.7422,3.9099,-0.045084968,401490,3709560,1995
267,45.45001221,-17.8823,15.6958,-0.11447887,404910,3709560,1995
268,48.8500061,-6.8357,2.231,0.016761759,405660,3709560,1995
269,53.15002441,-8.0024,-0.1167,0.003435356,398640,3709530,1995
270,45.25,-19.2214,19.1674,0.897159952,399900,3709530,1995
271,46.05001831,-16.5193,6.9007,0.931781261,401640,3709530,1995
272,51.15002441,-11.5939,3.9336,0.11987419,402120,3709530,1995
273,47.25,-10.9566,4.472,0.312177612,404400,3709530,1995
274,52.75,-8.8892,2.2847,-0.001529078,395460,3709500,1995
275,50.95001221,-11.534,3.7944,0.170746234,395820,3709500,1995
276,48.55001831,-14.0618,7.7898,1.19027396,398790,3709500,1995
277,46.45001221,-12.526,5.2033,-0.262188455,400890,3709500,1995
278,47.15002441,-15.9581,6.4423,0.553360374,401610,3709500,1995
279,47.25,-11.2237,5.7163,0.384265785,404310,3709500,1995
280,46.55001831,-11.082,5.1771,0.525431715,404370,3709500,1995
281,44.8500061,-12.1516,12.5963,-1.001542802,405510,3709500,1995
282,51.45001221,-10.3956,3.4194,0.018436917,395640,3709470,1995
283,51.55001831,-9.3364,0.7418,-0.051525089,396270,3709470,1995
284,51.75,-10.9119,1.4189,-0.015351929,397650,3709470,1995
285,47.8500061,-15.6398,9.6062,-0.021008075,398940,3709470,1995
286,47.8500061,-11.2782,3.8295,0.214512051,400920,3709470,1995
287,48.65002441,-12.602,4.5618,-0.332871668,403050,3709470,1995
288,47.8500061,-14.3573,10.462,1.10801589,403680,3709470,1995
289,52.05001831,-9.8463,2.9331,0.190497068,395520,3709440,1995
290,49.05001831,-10.9911,5.4217,0.010204633,397080,3709440,1995
291,44.8500061,-18.9271,15.8823,1.617687163,399750,3709440,1995
292,45.95001221,-19.2219,12.8732,1.710192614,402540,3709440,1995
293,50.45001221,-10.802,1.5641,-0.001586886,396090,3709410,1995
294,52.15002441,-7.5748,-4.0753,0.25342762,397860,3709410,1995
295,50.3500061,-12.0446,1.7885,0.110673038,398550,3709410,1995
296,48.15002441,-12.7327,3.3774,0.222699327,400530,3709410,1995
297,44.65002441,-15.5566,10.0454,0.737505297,400800,3709410,1995
298,49.8500061,-8.5907,3.9306,-0.040416025,404010,3709410,1995
299,51.45001221,-9.8763,2.5446,0.110609703,395100,3709380,1995
300,47.65002441,-10.0676,4.642,0.48867243,397020,3709380,1995
301,50.55001831,-8.4824,1.8528,0.130779029,397320,3709380,1995
302,51.8500061,-9.46,0.964,-0.013192257,397560,3709380,1995
303,51.75,-9.8331,0.6998,0.000881668,397710,3709380,1995
304,49.05001831,-12.1152,5.8572,0.015061154,399330,3709380,1995
305,46.95001221,-13.8735,8.1076,0.779783005,399540,3709380,1995
306,45.3500061,-15.9393,8.55,0.062630798,400650,3709380,1995
307,44.55001831,-16.4208,10.535,1.70491443,400830,3709380,1995
308,47.45001221,-13.5502,7.0768,0.915645393,402150,3709380,1995
309,48.45001221,-10.5668,4.3861,0.51646385,404220,3709380,1995
310,47.75,-11.0478,4.5025,0.484279329,404250,3709380,1995
311,44.8500061,-17.6702,20.103,3.787157429,404850,3709380,1995
312,41.65002441,-19.557,25.9235,1.014567534,405450,3709380,1995
313,51.8500061,-9.6517,0.4235,0.005661061,397710,3709350,1995
314,44.65002441,-14.6396,1.9094,0.12395423,398370,3709350,1995
315,49.25,-11.9309,4.2186,-0.059757182,403080,3709350,1995
316,49.8500061,-9.4873,4.2306,0.041716201,404160,3709350,1995
317,50.55001831,-11.2812,4.2111,0.023001925,396360,3709320,1995
318,49.05001831,-11.5772,6.9624,0.316913598,396510,3709320,1995
319,48.3500061,-10.8418,5.0259,0.482810877,396840,3709320,1995
320,50.55001831,-8.4461,1.4425,0.027805984,397350,3709320,1995
321,51.25,-9.1645,0.9892,0.005380364,397530,3709320,1995
322,45.45001221,-18.0928,15.2073,1.959601612,399930,3709320,1995
323,48.15002441,-14.0537,4.044,0.179655486,401400,3709320,1995
324,45.65002441,-17.1601,11.9963,1.757314385,402570,3709320,1995
325,48.45001221,-16.9398,9.3275,0.51119229,403260,3709320,1995
326,49.05001831,-11.0026,6.7979,0.37773566,403920,3709320,1995
327,50.3500061,-10.2104,2.888,0.044439824,395220,3709290,1995
328,53.25,-7.1133,-5.8183,0.440678988,397890,3709290,1995
329,49.55001831,-10.1185,0.232,0.007758225,401040,3709290,1995
